Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
City field is accepting special  characters,RN-217,10273,Bug,To Do,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,08/Sep/21 10:20 AM,08/Sep/21 10:23 AM,09/Sep/21 5:08 AM,,,0,"City field is accepting special  characters

Steps to Reproduce:

# Go to affiliate page
# click on add icon
# verify the city field

Expected result:
city field should accept only alphanumeric character
Haryana-1

Actual Result:
city field is accepting only special character
@#$%^&*





!image-20210908-102221.png|width=522,height=59!",,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 10:22 AM;ug:1426f709-0eb6-4ef6-9193-80072034154a;image-20210908-102221.png;https://corporateola1516.atlassian.net/secure/attachment/10019/image-20210908-102221.png,,,,,,{},,,,,,,0|i001k7:,,RN Sprint 1,,,,,,,,To Do
Website should have proper url,RN-216,10272,Bug,To Do,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,08/Sep/21 10:17 AM,08/Sep/21 10:19 AM,09/Sep/21 5:08 AM,,,0,"Website should have proper url

Steps to Reproduce:

# Go to affiliate page
# click on add icon
# verify the website field

Expected result:
website field should have proper url
[http://www.google.com|http://www.google.com|smart-link]  / [http://google.com|http://google.com|smart-link]  / [http://google.in|http://google.in|smart-link] 

Actual Result:
afmfhxgt



!image-20210908-101858.png|width=436,height=75!",,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 10:19 AM;ug:1426f709-0eb6-4ef6-9193-80072034154a;image-20210908-101858.png;https://corporateola1516.atlassian.net/secure/attachment/10018/image-20210908-101858.png,,,,,,{},,,,,,,0|i001jz:,,RN Sprint 1,,,,,,,,To Do
Fax field is accepting alphabetic characters,RN-215,10271,Bug,To Do,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,08/Sep/21 10:13 AM,08/Sep/21 10:15 AM,09/Sep/21 5:08 AM,,,0,"Fax field is accepting alphabetic characters

Steps to Reproduce:

# Go to affiliate page
# click on add icon
# verify the fax field

Expected result:
Fax field should accept only digits
78945612377

Actual Result:
Fax field is accepting alphabets
SDFGHJKDFGH



!image-20210908-101429.png|width=423,height=58!",,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 10:14 AM;ug:1426f709-0eb6-4ef6-9193-80072034154a;image-20210908-101429.png;https://corporateola1516.atlassian.net/secure/attachment/10017/image-20210908-101429.png,,,,,,{},,,,,,,0|i001jr:,,RN Sprint 1,,,,,,,,To Do
Fax field is accepting special characters,RN-214,10270,Bug,To Do,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,08/Sep/21 10:09 AM,08/Sep/21 10:12 AM,09/Sep/21 5:08 AM,,,0,"Fax field is accepting special characters

Steps to Reproduce:

# Go to affiliate page
# click on add icon
# verify the fax field

Expected result:
Fax field should accept only digits
78945612377

Actual Result:
Fax field is accepting special characters
@#$%^&*$%^

!image-20210908-101106.png|width=290,height=60!",,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 10:11 AM;ug:1426f709-0eb6-4ef6-9193-80072034154a;image-20210908-101106.png;https://corporateola1516.atlassian.net/secure/attachment/10016/image-20210908-101106.png,,,,,,{},,,,,,,0|i001jj:,,RN Sprint 1,,,,,,,,To Do
Fax is accepting more than 11 digits,RN-213,10269,Bug,To Do,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,08/Sep/21 10:05 AM,08/Sep/21 10:08 AM,09/Sep/21 5:08 AM,,,0,"Fax is accepting more than 11 digits

Steps to Reproduce:

# Go to affiliate page
# click on add icon
# verify the fax field

Expected result:
Fax field should not accept more than 11 digits
78945612377

Actual Result:
Fax field is accepting more than 11 digits
123456789009876543



!image-20210908-100741.png|width=502,height=68!",,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 10:07 AM;ug:1426f709-0eb6-4ef6-9193-80072034154a;image-20210908-100741.png;https://corporateola1516.atlassian.net/secure/attachment/10015/image-20210908-100741.png,,,,,,{},,,,,,,0|i001jb:,,RN Sprint 1,,,,,,,,To Do
Telephone number is accepting special characters,RN-212,10268,Bug,To Do,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,High,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,08/Sep/21 9:58 AM,08/Sep/21 5:59 PM,08/Sep/21 5:59 PM,,,0,"Telephone number is accepting special characters

Steps to Reproduce:

# Go to affiliate page
# click on add icon
# verify the telephone field

Expected result:
Telephone should accept only numbers
7894561230

Actual Result:
Telephone field should not accept special characters
\!@#$%^&*

!image-20210908-095950.png|width=427,height=72!",,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 9:59 AM;ug:1426f709-0eb6-4ef6-9193-80072034154a;image-20210908-095950.png;https://corporateola1516.atlassian.net/secure/attachment/10013/image-20210908-095950.png,,,,,,{},,,,,,,0|i001j3:,,RN Sprint 1,,,,,,,,To Do
Postcode is accepting alphabets and special characters,RN-211,10267,Bug,To Do,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,08/Sep/21 9:52 AM,08/Sep/21 9:56 AM,09/Sep/21 5:08 AM,,,0,"h1. Postcode is accepting alphabets and special characters

Steps to Reproduce:

# Go to affiliate page
# click on add icon
# verify the postcode option

Expected result:
712369

Actual Result:
QED$%^

!image-20210908-095514.png|width=409,height=79!",,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 9:55 AM;ug:1426f709-0eb6-4ef6-9193-80072034154a;image-20210908-095514.png;https://corporateola1516.atlassian.net/secure/attachment/10012/image-20210908-095514.png,,,,,,{},,,,,,,0|i001iv:,,RN Sprint 1,,,,,,,,To Do
Telephone number is accepting alphabets,RN-210,10266,Bug,To Do,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,High,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,08/Sep/21 9:33 AM,08/Sep/21 5:59 PM,08/Sep/21 5:59 PM,,,0,"Telephone number is accepting alphabets.

Steps to reproduce:

# Go to affiliate page
# click on add icon 
# verify the telephone field

Expected result:

Telephone no. should accept numeric data.

1234567890

actual result:

Telephone number is accepting alphabets.

AQWERTY



!image-20210908-100307.png|width=363,height=63!",,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 10:03 AM;ug:1426f709-0eb6-4ef6-9193-80072034154a;image-20210908-100307.png;https://corporateola1516.atlassian.net/secure/attachment/10014/image-20210908-100307.png,,,,,,{},,,,,,,0|i001in:,,RN Sprint 1,,,,,,,,To Do
Email field is accepting only special characters,RN-209,10265,Bug,To Do,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,08/Sep/21 9:31 AM,08/Sep/21 9:50 AM,08/Sep/21 1:29 PM,,,0,"Email field is accepting only special characters

Steps to reproduce

# go to affiliate page
# click on add icon
# verify the email field

Expected result:

[ananyaghosal456_gsa@gmail.com|mailto:ananyaghosal456_gsa@gmail.com]

actual result: 

@#$%@gmail.c

!image-20210908-094225.png|width=814,height=71!",,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 9:45 AM;ug:1426f709-0eb6-4ef6-9193-80072034154a;image-20210908-094225.png;https://corporateola1516.atlassian.net/secure/attachment/10010/image-20210908-094225.png,,,,,,{},,,,,,,0|i001i3:,,RN Sprint 1,,,,,,,,To Do
Verify the default tracking code is able to change or not by admin,RN-208,10264,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,07/Sep/21 3:21 PM,07/Sep/21 3:30 PM,08/Sep/21 5:53 PM,07/Sep/21 3:30 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001i7:,,RN Sprint 1,,,,,,,,Done
Verify that postcode field is mandatory or not,RN-207,10263,Test,Blocked,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,07/Sep/21 11:17 AM,08/Sep/21 1:35 PM,08/Sep/21 1:35 PM,,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,RN-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001hz:,,RN Sprint 1,,,,,,,,In Progress
Verify that cheque payee name field with special characters,RN-206,10262,Test,Blocked,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,07/Sep/21 11:10 AM,08/Sep/21 1:35 PM,08/Sep/21 1:35 PM,,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001hr:,,RN Sprint 1,,,,,,,,In Progress
Verify that account name field with special characters,RN-205,10261,Test,Blocked,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,07/Sep/21 11:06 AM,08/Sep/21 1:35 PM,09/Sep/21 5:01 AM,,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001hj:,,RN Sprint 1,,,,,,,,In Progress
